1,Adalah penting bagi saya untuk mempunyai badan yang kuat dan tangkas.
2,Saya perlu memahami sesuatu dengan teliti.
3,"Semua jenis muzik, warna dan keindahan boleh mempengaruhi 'mood' saya."
4,Manusia memberi makna dan kebahagian di dalam kehidupan saya.
5,Saya berkeyakinan bahawa saya boleh melakukan sesuatu perkara dengan jayanya.
6,Saya memerlukan arahan yang jelas dan tepat agar saya tahu apa yang perlu dilakukan.
7,Saya selalu membawa / memasang / membaiki sesuatu benda tanpa bantuan orang lain.
8,Saya boleh menjadi asyik untuk satu tempoh masa apabila memikirkan penyelesaian kepada sesuatu perkara.
9,"Saya menghargai persekitaran yang cantik dan pada masa yang sama, warna serta reka bentuk memberi makna kepada saya."
10,Saya meluangkan masa untuk menolong orang lain mencari jalan penyelesaian kepada masalah peribadi mereka.
11,Saya suka bersaing dengan orang lain.
12,Saya meluangkan masa untuk membuat perancangan secara teliti sebelum memulakan sesuatu tugasan.
13,Saya gembira membuat sesuatu perkara hasil kerja tangan saya sendiri.
14,Saya berasa puas hati apabila dapat menerokai idea-idea baru.
15,Saya selalu mencari cara-cara baru untuk mempamerkan kreativiti saya.
16,Saya suka berkongsi masalah peribadi dengan orang lain.
17,Saya berasa bangga menjadi orang yang penting dalam sesebuah kumpulan.
18,Saya berasa bangga apabila dapat melakukan sesuatu perkara dengan sangat teliti.
19,Saya tidak kisah jika tangan saya kotor sewaktu melakukan sesuatu perkara.
20,Saya melihat pelajaran itu sebagai satu proses seumur hidup untuk membangun dan menajamkan pemikiran saya.
21,Saya suka berpakaian luar biasa dan mencuba warna serta fesyen yang terbaru.
22,Saya dapat merasakan apabila seseorang itu memerlukan orang lain untuk bercakap dengannya.
23,Saya suka menguruskan orang lain dan bersiap sedia memulakan tugas.
24,Saya memilih untuk berhati-hati daripada mengambil risiko apabila membuat sesuatu keputusan.
25,Saya suka membeli sesuatu benda yang praktikal dan kemudian memasangnya sendiri.
26,Kadang kala saya boleh duduk bersendirian untuk tempoh masa yang lama dan melakukan aktiviti seperti membaca atau memikirkan tentang kehidupan.
27,Saya mempunyai daya imaginasi yang tinggi.
28,Saya suka membantu orang lain mengembangkan bakat dan kebolehan mereka.
29,Saya suka orang lain bergantung kepada saya untuk menyiapkan sesuatu kerja.
30,Saya selalunya membuat perancangan secara teliti dan lebih awal sekiranya saya terpaksa mengendalikan situasi baru.
31,Saya lebih suka melakukan aktiviti-aktiviti yang praktikal dan hasil kerja tangan secara sendirian.
32,Saya tidak sabar untuk membaca apa jua jenis bahan bacaan yang boleh menarik minat saya.
33,Saya suka mencuba idea-idea baru yang kreatif.
34,"Sekiranya saya mempunyai masalah dengan seseorang, saya akan cuba menyelesaikannya dengan cara yang tenang."
35,"Untuk berjaya, kita mesti mempunyai cita-cita yang tinggi."
36,Saya tidak suka mempunyai tanggungjawab yang memerlukan saya membuat keputusan yang penting.
37,Saya menyatakan pendapat saya tanpa berdolak dalih.
38,Saya perlu membuat analisis sesuatu masalah dengan teliti sebelum mengambil sebarang tindakan.
39,Saya suka mengubah susun atur persekitaran saya untuk kelihatan unik dan berlainan.
40,Saya sering menyelesaikan masalah peribadi saya dengan meluahkannya kepada orang lain.
41,Saya akan memulakan sesuatu projek dan membiarkan orang lain menguruskannya secara terperinci.
42,Menepati masa adalah sangat mustahak bagi saya.
43,Melakukan aktiviti-aktiviti luaran adalah sesuatu yang amat menyegarkan.
44,Saya sering mengajukan pertanyaan 'mengapa'.
45,Saya suka apabila hasil kerja saya menggambarkan perasaan dan 'mood' saya.
46,Saya suka menolong orang lain mencari jalan supaya mereka lebih mengambil berat di antara satu sama lain.
47,Adalah sesuatu yang menyeronokkan apabila berpeluang untuk melibatkan diri dalam membuat sesuatu keputusan yang penting.
48,Saya selalu memastikan barang-barang di sekeliling saya berada dalam keadaan yang teratur.
